ScheduleKey,Season,EventId,Date,Arena,Attendance,HomeTeamId,AwayTeamId
3176,2018-19,2,2018.12.12,ブレックスアリーナ宇都宮,4083,703,706
3015,2018-19,2,2018.10.14,ウィングアリーナ刈谷,3002,728,706
3109,2018-19,2,2018.11.10,川崎市とどろきアリーナ,4238,727,706
3110,2018-19,2,2018.11.11,川崎市とどろきアリーナ,4470,727,706
3071,2018-19,2,2018.10.28,ハンナリーズアリーナ,1932,699,706
3138,2018-19,2,2018.11.18,沖縄市体育館,3467,701,706
3014,2018-19,2,2018.10.13,ウィングアリーナ刈谷,2912,728,706
3165,2018-19,2,2018.12.08,シティホールプラザアオーレ長岡,4079,695,706
3166,2018-19,2,2018.12.09,シティホールプラザアオーレ長岡,4457,695,706
3051,2018-19,2,2018.10.24,墨田区総合体育館,2118,726,706
3137,2018-19,2,2018.11.17,沖縄市体育館,3558,701,706
3070,2018-19,2,2018.10.27,ハンナリーズアリーナ,1792,699,706
3567,2018-19,7,2018.10.14,大田区総合体育館,1156,715,717
3650,2018-19,7,2018.11.11,青柳公園市民体育館,1558,712,717
3526,2018-19,7,2018.09.29,カクヒログループスタジアム,1552,708,717
3678,2018-19,7,2018.11.19,熊本県立総合体育館,1403,724,717
3566,2018-19,7,2018.10.13,大田区総合体育館,1093,715,717
3649,2018-19,7,2018.11.10,青柳公園市民体育館,1736,712,717
3615,2018-19,7,2018.10.27,ことぶきアリーナ千曲,904,716,717
3616,2018-19,7,2018.10.28,ことぶきアリーナ千曲,1013,716,717
3591,2018-19,7,2018.10.21,西宮市立中央体育館,1016,718,717
3677,2018-19,7,2018.11.18,熊本県立総合体育館,3229,724,717
3527,2018-19,7,2018.09.30,カクヒログループスタジアム,1424,708,717
3719,2018-19,7,2018.12.12,金沢市総合体育館,839,750,717
3590,2018-19,7,2018.10.20,西宮市立中央体育館,1014,718,717
3151,2018-19,2,2018.11.23,守山市民体育館,2094,698,726
3175,2018-19,2,2018.12.12,ＣＮＡアリーナ★あきた,2405,693,726
3046,2018-19,2,2018.10.21,岡崎中央総合公園総合体育館,2604,728,726
3152,2018-19,2,2018.11.24,守山市民体育館,2022,698,726
2992,2018-19,2,2018.10.06,アリーナ立川立飛,2787,706,726
3094,2018-19,2,2018.11.07,北海きたえーる,3008,702,726
3045,2018-19,2,2018.10.20,岡崎中央総合公園総合体育館,2137,728,726
3080,2018-19,2,2018.11.03,船橋アリーナ,4831,704,726
2993,2018-19,2,2018.10.07,アリーナ立川立飛,3102,706,726
3081,2018-19,2,2018.11.04,船橋アリーナ,5226,704,726
3679,2018-19,7,2018.11.24,ゼビオアリーナ仙台,2518,692,723
3560,2018-19,7,2018.10.06,熊本県立総合体育館,2207,724,723
3581,2018-19,7,2018.10.21,五所川原市民体育館,1482,708,723
3728,2018-19,7,2018.12.15,宝来屋郡山総合体育館,805,711,723
3729,2018-19,7,2018.12.16,宝来屋郡山総合体育館,1517,711,723
3617,2018-19,7,2018.10.27,ならでんアリーナ,906,719,723
3722,2018-19,7,2018.12.12,高松市総合体育館,789,722,723
3561,2018-19,7,2018.10.07,熊本県立総合体育館,2463,724,723
3651,2018-19,7,2018.11.09,ヤマト市民体育館前橋,505,713,723
3580,2018-19,7,2018.10.20,五所川原市民体育館,1631,708,723
3680,2018-19,7,2018.11.25,ゼビオアリーナ仙台,2834,692,723
3618,2018-19,7,2018.10.28,ならでんアリーナ,1009,719,723
3652,2018-19,7,2018.11.10,ヤマト市民体育館前橋,708,713,723
3610,2018-19,7,2018.10.28,千代田町総合体育館,556,713,712
3692,2018-19,7,2018.11.24,西宮市立中央体育館,1113,718,712
3609,2018-19,7,2018.10.27,千代田町総合体育館,1052,713,712
3666,2018-19,7,2018.11.17,エスフォルタアリーナ八王子（メイン）,759,749,712
3578,2018-19,7,2018.10.13,松山市総合コミュニティセンター,706,723,712
3579,2018-19,7,2018.10.14,松山市総合コミュニティセンター,816,723,712
3716,2018-19,7,2018.12.12,宝来屋郡山総合体育館,1417,711,712
3735,2018-19,7,2018.12.16,名古屋市枇杷島スポーツセンター,1052,717,712
3691,2018-19,7,2018.11.23,西宮市立中央体育館,1164,718,712
3734,2018-19,7,2018.12.15,名古屋市枇杷島スポーツセンター,1021,717,712
3665,2018-19,7,2018.11.16,エスフォルタアリーナ八王子（メイン）,628,749,712
3061,2018-19,2,2018.10.28,青山学院記念館,2277,726,694
2994,2018-19,2,2018.10.06,富山市総合体育館,3903,696,694
3163,2018-19,2,2018.12.08,川崎市とどろきアリーナ,3798,727,694
