ScheduleKey,TeamId,PTS,Q1,Q2,Q3,Q4,OT1,OT2,OT3,OT4,F2GM,F2GA,F3GM,F3GA,FTM,FTA,OR,DR,TR,AS,TO,ST,BS,F,PtsBiggestLead,PtsInPaint,PtsFastBreak,PtsSecondChance,PtsFromTurnover,BiggestScoringRun,LeadChanges,TimesTied
5234,692,50,14,8,14,14,0,0,0,0,13,35,4,15,12,21,7,20,27,16,21,7,1,23,6,24,10,5,12,5-0(5-0),0,1
5234,702,77,14,20,23,20,0,0,0,0,24,41,5,17,14,22,12,28,40,20,17,13,5,20,27,42,16,16,23,10-0(14-18),0,1
5231,710,68,13,18,22,15,0,0,0,0,24,48,6,25,2,4,15,22,37,16,12,9,2,23,5,40,12,14,14,9-0(22-27),1,1
5231,702,76,20,12,25,19,0,0,0,0,22,47,6,20,14,22,21,27,48,17,14,7,2,10,14,36,7,16,18,12-0(13-27),1,1
5235,711,70,18,15,19,18,0,0,0,0,14,29,5,22,27,39,9,23,32,13,17,7,1,19,7,28,15,15,11,12-0(14-7),0,1
5235,693,96,14,24,25,33,0,0,0,0,31,60,7,15,13,20,20,28,48,24,12,13,0,29,26,50,9,24,16,12-0(52-75),0,1
5237,702,64,18,9,20,17,0,0,0,0,21,39,4,14,10,16,6,22,28,21,13,7,5,22,5,30,11,5,13,9-0(31-28),1,1
5237,693,67,15,13,18,21,0,0,0,0,20,40,3,15,18,26,12,24,36,18,12,6,3,17,6,40,10,12,13,6-0(22-28),1,1
5238,703,83,19,21,26,17,0,0,0,0,27,40,6,24,11,17,13,21,34,25,9,5,3,12,12,44,13,14,15,6-0(12-10),9,0
5238,694,77,22,15,25,15,0,0,0,0,22,45,8,17,9,13,11,20,31,26,10,2,3,16,5,32,2,9,6,7-0(71-73),9,0
5240,727,76,22,21,16,17,0,0,0,0,23,38,7,21,9,18,5,31,36,23,11,3,8,14,13,44,12,4,12,8-0(22-12),1,1
5240,694,71,16,16,26,13,0,0,0,0,22,53,7,21,6,10,15,31,46,22,10,7,2,21,2,38,9,7,16,9-0(49-50),1,1
5241,704,75,22,22,16,15,0,0,0,0,19,38,8,25,13,19,13,28,41,21,19,7,7,18,10,34,11,14,11,11-0(11-3),0,1
5241,703,84,13,29,28,14,0,0,0,0,24,51,9,27,9,15,19,27,46,19,11,14,5,23,19,34,17,12,19,11-0(49-65),0,1
5244,703,82,16,15,22,29,0,0,0,0,20,39,11,24,9,12,10,24,34,21,15,10,2,17,4,32,9,12,17,8-0(64-72),0,1
5244,706,78,20,20,27,11,0,0,0,0,20,39,9,25,11,15,9,22,31,14,14,9,2,15,16,30,14,13,19,9-0(31-42),0,1
5242,726,69,16,19,16,18,0,0,0,0,15,38,9,23,12,15,14,23,37,13,12,6,1,22,6,24,6,22,8,11-0(51-50),3,1
5242,706,77,20,22,8,27,0,0,0,0,19,33,8,26,15,18,10,24,34,17,10,5,4,18,13,30,7,11,12,13-0(63-70),3,1
5239,727,66,18,20,13,15,0,0,0,0,13,25,10,34,10,16,8,27,35,17,15,7,1,16,6,20,13,7,15,9-0(36-30),0,2
5239,726,74,23,12,24,15,0,0,0,0,21,40,9,24,5,7,8,31,39,22,15,9,1,16,13,32,7,9,21,16-0(40-53),0,2
5243,704,85,23,18,22,22,0,0,0,0,28,40,7,21,8,9,7,26,33,22,16,6,2,18,19,46,11,12,22,10-0(10-0),0,0
5243,726,73,12,19,20,22,0,0,0,0,21,43,7,22,10,16,13,18,31,20,14,13,0,17,0,42,8,15,18,6-0(25-18),0,0
5253,695,87,18,28,13,28,0,0,0,0,18,30,13,27,12,14,7,33,40,24,16,4,2,17,22,28,4,7,9,7-0(22-21),4,4
5253,749,68,21,13,11,23,0,0,0,0,18,46,8,23,8,17,11,19,30,19,8,9,1,17,6,32,11,8,17,8-0(15-21),4,4
5256,695,101,25,22,34,20,0,0,0,0,21,34,14,27,17,20,7,38,45,28,12,4,0,15,50,38,11,11,13,14-0(31-17),0,1
5256,750,58,17,10,16,15,0,0,0,0,13,26,8,37,8,12,5,19,24,13,12,4,5,19,0,22,18,2,9,5-0(17-17),0,1
5258,695,86,20,12,32,22,0,0,0,0,11,25,16,33,16,23,7,30,37,21,14,3,2,20,1,18,15,11,8,12-0(61-65),1,1
5258,696,91,23,27,17,24,0,0,0,0,30,52,6,19,13,22,11,26,37,26,7,6,1,22,20,54,8,9,22,10-0(25-35),1,1
5255,716,84,24,18,22,20,0,0,0,0,13,25,16,42,10,12,7,26,33,21,7,3,2,26,8,14,10,10,4,7-0(36-30),10,5
5255,696,88,24,19,21,24,0,0,0,0,21,44,7,10,25,39,7,32,39,16,7,4,0,12,7,36,11,10,14,10-0(62-64),10,5
5252,696,98,28,15,27,28,0,0,0,0,27,42,8,18,20,29,11,25,36,28,13,8,1,16,14,48,8,22,17,10-0(10-0),0,2
5252,713,84,25,15,27,17,0,0,0,0,15,35,13,28,15,18,8,17,25,20,12,8,2,19,0,26,12,7,21,7-0(70-69),0,2
5254,750,89,31,22,15,21,0,0,0,0,30,37,8,23,5,11,7,23,30,28,13,8,1,18,14,42,11,7,22,8-0(73-64),0,0
5254,713,79,21,20,23,15,0,0,0,0,21,39,9,25,10,12,12,17,29,16,14,10,0,16,0,36,10,11,14,7-0(64-60),0,0
5250,717,59,20,12,13,14,0,0,0,0,14,36,8,25,7,8,7,35,42,15,18,13,1,14,24,22,14,4,19,12-0(32-16),2,1
5250,715,40,14,4,11,11,0,0,0,0,11,26,4,30,6,6,6,31,37,11,23,8,5,13,1,14,6,4,4,7-0(7-7),2,1
5249,729,92,26,23,21,22,0,0,0,0,33,50,7,30,5,13,17,32,49,31,10,9,3,19,31,54,17,19,15,13-0(35-16),0,1
5249,715,62,16,12,17,17,0,0,0,0,16,38,6,19,12,19,6,26,32,13,18,7,1,16,0,26,6,9,9,6-0(9-9),0,1
5246,697,63,8,15,19,21,0,0,0,0,17,39,5,24,14,21,16,32,48,16,13,3,5,12,7,28,2,13,11,7-0(23-25),0,0
5246,715,66,15,13,18,20,0,0,0,0,22,47,7,26,1,3,13,29,42,16,9,7,5,19,11,42,10,5,8,10-0(63-66),0,0
5248,728,102,16,35,27,24,0,0,0,0,28,46,7,22,25,31,12,29,41,22,6,5,1,14,19,44,11,21,15,17-0(48-35),1,0
5248,717,91,22,15,25,29,0,0,0,0,14,35,18,34,9,12,9,22,31,27,9,4,3,24,11,24,18,10,14,8-0(91-84),1,0
5251,728,93,16,30,27,20,0,0,0,0,27,52,7,15,18,23,11,24,35,21,8,7,0,20,16,46,2,13,16,8-0(75-59),2,1
5251,729,79,19,19,21,20,0,0,0,0,15,32,10,30,19,25,14,24,38,21,13,3,2,21,9,26,13,12,10,10-0(5-13),2,1
5260,719,102,26,25,32,19,0,0,0,0,24,51,11,15,21,24,11,32,43,23,15,10,2,10,33,28,2,5,15,11-0(15-9),0,1
5260,698,80,18,14,21,27,0,0,0,0,26,52,8,29,4,6,16,23,39,23,15,9,7,21,5,42,11,18,19,6-0(94-72),0,1
5259,700,102,23,24,27,28,0,0,0,0,22,35,13,29,19,24,8,35,43,28,10,7,6,12,41,32,16,11,19,16-0(16-0),0,0
5259,718,63,8,14,30,11,0,0,0,0,18,41,7,28,6,11,12,21,33,18,16,6,2,20,0,30,9,10,11,7-0(47-29),0,0
5263,700,77,30,16,23,8,0,0,0,0,23,46,5,26,16,23,10,31,41,21,7,10,2,20,17,34,12,9,15,11-0(16-1),0,0
5263,699,78,18,26,16,18,0,0,0,0,25,44,5,17,13,22,5,35,40,13,15,6,2,19,3,42,9,7,8,18-0(41-44),0,0
5264,700,95,24,25,27,19,0,0,0,0,29,49,10,23,7,8,6,32,38,26,13,7,5,6,26,48,16,4,26,11-0(21-15),1,1
5264,719,73,22,12,16,23,0,0,0,0,29,54,3,16,6,7,6,28,34,19,16,10,0,13,5,38,18,6,15,8-0(24-26),1,1
5265,699,73,13,19,27,14,0,0,0,0,17,42,8,26,15,27,20,35,55,16,9,7,6,14,23,30,7,13,6,14-0(47-34),3,2
5265,701,61,13,18,9,21,0,0,0,0,15,42,9,32,4,8,16,31,47,15,11,5,2,28,9,24,14,12,9,9-0(15-24),3,2
5262,719,66,23,11,15,17,0,0,0,0,22,44,3,12,13,18,5,22,27,14,17,5,0,11,0,30,10,5,10,8-0(20-24),0,0
5262,701,91,28,20,24,19,0,0,0,0,27,44,10,29,7,12,14,27,41,23,11,8,1,17,31,48,9,17,23,10-0(46-69),0,0
5270,720,76,13,22,20,21,0,0,0,0,16,34,9,27,17,21,13,26,39,23,11,4,3,20,5,22,4,13,7,7-0(76-74),3,2
5270,721,74,17,17,25,15,0,0,0,0,19,37,6,27,18,19,12,24,36,19,10,5,2,17,6,32,2,7,11,7-0(35-39),3,2
5271,752,60,7,17,15,21,0,0,0,0,17,39,4,21,14,24,9,22,31,16,15,8,2,23,0,20,6,6,22,10-0(26-41),0,0
5271,721,80,25,16,14,25,0,0,0,0,21,40,7,26,17,28,17,35,52,22,17,10,1,20,26,36,16,18,19,16-0(2-20),0,0
5272,724,68,18,16,13,21,0,0,0,0,20,43,6,26,10,19,18,35,53,15,18,10,1,17,16,34,8,16,11,8-0(18-6),0,2
