ScheduleKey,Season,EventId,Date,Arena,Attendance,HomeTeamId,AwayTeamId
7542,2021-22,2,2021.11.10,CNAアリーナ☆あきた,1942,693,706
7490,2021-22,2,2021.10.23,船橋アリーナ,2293,704,706
7441,2021-22,2,2021.10.02,沖縄アリーナ,4039,701,706
7569,2021-22,2,2021.11.14,松江市総合体育館,1825,720,706
7568,2021-22,2,2021.11.13,松江市総合体育館,1908,720,706
7491,2021-22,2,2021.10.24,船橋アリーナ,2257,704,706
7440,2021-22,2,2021.09.30,沖縄アリーナ,3780,701,706
7598,2021-22,2,2021.12.11,CNAアリーナ☆あきた,1945,693,706
7599,2021-22,2,2021.12.12,CNAアリーナ☆あきた,2067,693,706
7570,2021-22,2,2021.11.13,エフピコアリーナふくやま,1702,721,726
7621,2021-22,2,2021.12.15,アリーナ立川立飛,1638,706,726
7510,2021-22,2,2021.10.27,太田市運動公園市民体育館,1350,713,726
7571,2021-22,2,2021.11.14,エフピコアリーナふくやま,1625,721,726
7474,2021-22,2,2021.10.16,横浜国際プール,2018,694,726
7475,2021-22,2,2021.10.17,横浜国際プール,1796,694,726
7469,2021-22,2,2021.10.17,太田市運動公園市民体育館,1402,713,728
7468,2021-22,2,2021.10.16,太田市運動公園市民体育館,1352,713,728
7531,2021-22,2,2021.11.06,横浜国際プール,1266,694,728
7617,2021-22,2,2021.12.12,広島サンプラザホール,2026,721,728
7498,2021-22,2,2021.10.22,新潟市東総合スポーツセンター,1017,695,728
7616,2021-22,2,2021.12.11,広島サンプラザホール,1937,721,728
7532,2021-22,2,2021.11.07,横浜国際プール,1672,694,728
7586,2021-22,2,2021.12.04,豊橋市総合体育館,1505,697,728
7435,2021-22,2,2021.10.03,おおきにアリーナ舞洲,2852,700,728
7587,2021-22,2,2021.12.05,豊橋市総合体育館,1239,697,728
7434,2021-22,2,2021.10.02,おおきにアリーナ舞洲,2579,700,728
7499,2021-22,2,2021.10.23,新潟市東総合スポーツセンター,1294,695,728
7432,2021-22,2,2021.10.02,ウカルちゃんアリーナ,1649,698,697
7561,2021-22,2,2021.11.14,富山市総合体育館,2055,696,697
7528,2021-22,2,2021.11.07,青山学院記念館,1438,726,697
7433,2021-22,2,2021.10.03,ウカルちゃんアリーナ,1653,698,697
7627,2021-22,2,2021.12.15,広島サンプラザホール,2024,721,697
7560,2021-22,2,2021.11.13,富山市総合体育館,1870,696,697
7527,2021-22,2,2021.11.06,青山学院記念館,1424,726,697
7489,2021-22,2,2021.10.24,かみす防災アリーナ,1055,712,697
7488,2021-22,2,2021.10.23,かみす防災アリーナ,915,712,697
7483,2021-22,2,2021.10.17,広島サンプラザホール,2198,721,697
7482,2021-22,2,2021.10.16,広島サンプラザホール,1886,721,697
7507,2021-22,2,2021.10.24,広島サンプラザホール,2082,721,699
7517,2021-22,2,2021.10.27,松江市総合体育館,1596,720,699
7506,2021-22,2,2021.10.23,広島サンプラザホール,1928,721,699
7526,2021-22,2,2021.11.07,アリーナ立川立飛,1334,706,699
7567,2021-22,2,2021.11.14,おおきにアリーナ舞洲,2729,700,699
7429,2021-22,2,2021.10.03,シティホールプラザアオーレ長岡,1646,695,699
7566,2021-22,2,2021.11.13,おおきにアリーナ舞洲,2258,700,699
7428,2021-22,2,2021.10.02,シティホールプラザアオーレ長岡,1491,695,699
7628,2021-22,2,2021.12.15,沖縄アリーナ,4054,701,699
7525,2021-22,2,2021.11.06,アリーナ立川立飛,1349,706,699
7473,2021-22,2,2021.10.17,アリーナ立川立飛,1376,706,716
7623,2021-22,2,2021.12.15,富山市総合体育館,1901,696,716
7430,2021-22,2,2021.10.02,富山市総合体育館,2154,696,716
7431,2021-22,2,2021.10.03,富山市総合体育館,2093,696,716
7649,2021-22,2,2021.12.18,松江市総合体育館,1680,720,716
7504,2021-22,2,2021.10.23,おおきにアリーナ舞洲,1815,700,716
7505,2021-22,2,2021.10.24,おおきにアリーナ舞洲,2158,700,716
7472,2021-22,2,2021.10.16,アリーナ立川立飛,1386,706,716
7604,2021-22,2,2021.12.11,太田市運動公園市民体育館,1286,713,716
7547,2021-22,2,2021.11.10,豊橋市総合体育館,1306,697,716
7605,2021-22,2,2021.12.12,太田市運動公園市民体育館,1203,713,716
