ScheduleKey,Season,EventId,Date,Arena,Attendance,HomeTeamId,AwayTeamId
5938,2020-21,2,2020.10.24,おおきにアリーナ舞洲,1675,700,706
5939,2020-21,2,2020.10.25,おおきにアリーナ舞洲,1255,700,706
5890,2020-21,2,2020.10.09,広島サンプラザホール,2061,721,706
5903,2020-21,2,2020.10.18,横浜国際プール,1517,694,706
5891,2020-21,2,2020.10.10,広島サンプラザホール,2221,721,706
5945,2020-21,2,2020.10.28,船橋アリーナ,2213,704,706
5902,2020-21,2,2020.10.17,横浜国際プール,1456,694,706
6507,2020-21,7,2020.10.25,越谷市立総合体育館メインアリーナ,802,745,717
6478,2020-21,7,2020.10.10,西宮市立中央体育館,900,718,717
6506,2020-21,7,2020.10.24,越谷市立総合体育館メインアリーナ,626,745,717
6479,2020-21,7,2020.10.11,西宮市立中央体育館,814,718,717
5909,2020-21,2,2020.10.18,ことぶきアリーナ千曲,1407,716,726
5978,2020-21,2,2020.11.11,富山市総合体育館,1980,696,726
5928,2020-21,2,2020.10.24,栃木県立県北体育館,1287,703,726
5929,2020-21,2,2020.10.25,栃木県立県北体育館,1303,703,726
5908,2020-21,2,2020.10.17,ことぶきアリーナ千曲,1246,716,726
5922,2020-21,2,2020.10.21,ハンナリーズアリーナ,689,699,728
5968,2020-21,2,2020.11.08,ことぶきアリーナ千曲,1407,716,728
5882,2020-21,2,2020.10.10,豊橋市総合体育館,954,697,728
5952,2020-21,2,2020.10.28,おおきにアリーナ舞洲,1451,700,728
5859,2020-21,2,2020.10.04,青山学院記念館,1207,726,728
5858,2020-21,2,2020.10.03,青山学院記念館,1293,726,728
5883,2020-21,2,2020.10.11,豊橋市総合体育館,1082,697,728
5969,2020-21,2,2020.11.09,ことぶきアリーナ千曲,1407,716,728
5941,2020-21,2,2020.10.25,広島サンプラザホール,1814,721,697
5906,2020-21,2,2020.10.17,富山県西部体育センター,871,696,697
5971,2020-21,2,2020.11.08,米子産業体育館,1104,720,697
5970,2020-21,2,2020.11.07,米子産業体育館,1018,720,697
5940,2020-21,2,2020.10.24,広島サンプラザホール,1622,721,697
5907,2020-21,2,2020.10.18,富山県西部体育センター,1263,696,697
5912,2020-21,2,2020.10.17,おおきにアリーナ舞洲,2100,700,699
5961,2020-21,2,2020.11.08,青山学院記念館,836,726,699
5949,2020-21,2,2020.10.28,豊橋市総合体育館,774,697,699
5960,2020-21,2,2020.11.07,青山学院記念館,912,726,699
5913,2020-21,2,2020.10.18,おおきにアリーナ舞洲,2234,700,699
6509,2020-21,7,2020.10.25,世田谷区立総合運動場体育館,406,715,692
6471,2020-21,7,2020.10.11,むつマエダアリーナ,803,708,692
6470,2020-21,7,2020.10.10,むつマエダアリーナ,817,708,692
6508,2020-21,7,2020.10.24,世田谷区立総合運動場体育館,432,715,692
6526,2020-21,7,2020.11.07,いわき市立総合体育館,619,711,692
6527,2020-21,7,2020.11.08,いわき市立総合体育館,819,711,692
6515,2020-21,7,2020.10.23,愛媛県総合運動公園体育館,213,723,1638
6483,2020-21,7,2020.10.11,照葉積水ハウスアリーナ,1443,752,1638
6482,2020-21,7,2020.10.10,照葉積水ハウスアリーナ,1354,752,1638
6523,2020-21,7,2020.10.28,ならでんアリーナ,518,719,1638
6514,2020-21,7,2020.10.22,愛媛県総合運動公園体育館,134,723,1638
5950,2020-21,2,2020.10.28,ドルフィンズアリーナ,1757,729,716
5919,2020-21,2,2020.10.21,豊橋市総合体育館,649,697,716
5875,2020-21,2,2020.10.11,ブレックスアリーナ宇都宮,1770,703,716
5982,2020-21,2,2020.11.11,ウカルちゃんアリーナ,852,698,716
5874,2020-21,2,2020.10.10,ブレックスアリーナ宇都宮,1610,703,716
5866,2020-21,2,2020.10.03,ドルフィンズアリーナ,2178,729,702
5867,2020-21,2,2020.10.04,ドルフィンズアリーナ,2055,729,702
5944,2020-21,2,2020.10.28,ブレックスアリーナ宇都宮,1850,703,702
5977,2020-21,2,2020.11.11,横浜国際プール,859,694,702
5881,2020-21,2,2020.10.11,富山市総合体育館,1786,696,702
5880,2020-21,2,2020.10.10,富山市総合体育館,2045,696,702
5865,2020-21,2,2020.10.04,浜松アリーナ,1070,697,704
5954,2020-21,2,2020.11.07,湿原の風アリーナ釧路,1223,702,704
5955,2020-21,2,2020.11.08,湿原の風アリーナ釧路,1117,702,704
5877,2020-21,2,2020.10.11,青山学院記念館,1481,726,704
5876,2020-21,2,2020.10.10,青山学院記念館,1477,726,704
5864,2020-21,2,2020.10.03,浜松アリーナ,1668,697,704
5917,2020-21,2,2020.10.21,横浜国際プール,1321,694,704
5911,2020-21,2,2020.10.18,ウィングアリーナ刈谷,1391,728,729
5910,2020-21,2,2020.10.17,ウィングアリーナ刈谷,1357,728,729
5930,2020-21,2,2020.10.24,船橋アリーナ,2142,704,729
5931,2020-21,2,2020.10.25,船橋アリーナ,2169,704,729
5965,2020-21,2,2020.11.08,横浜国際プール,1014,694,729
5964,2020-21,2,2020.11.07,横浜国際プール,999,694,729
5888,2020-21,2,2020.10.10,松江市総合体育館,1200,720,729
5889,2020-21,2,2020.10.11,松江市総合体育館,1225,720,729
5878,2020-21,2,2020.10.10,川崎市とどろきアリーナ,2375,727,700
5979,2020-21,2,2020.11.11,豊橋市総合体育館,946,697,700
5957,2020-21,2,2020.11.08,CNAアリーナ☆あきた,1786,693,700
5956,2020-21,2,2020.11.07,CNAアリーナ☆あきた,1451,693,700
5879,2020-21,2,2020.10.11,川崎市とどろきアリーナ,2304,727,700
5923,2020-21,2,2020.10.21,松江市総合体育館,1427,720,700
6504,2020-21,7,2020.10.24,南陽市民体育館,505,710,719
