ScheduleKey,Season,EventId,Date,Arena,Attendance,HomeTeamId,AwayTeamId
427,2016-17,2,2017.04.01,ブレックスアリーナ宇都宮,3904,703,706
231,2016-17,2,2016.12.24,川崎市とどろきアリーナ,3727,727,706
176,2016-17,2,2016.12.03,豊橋市総合体育館,2140,697,706
258,2016-17,2,2017.01.17,カメイアリーナ仙台,2384,692,706
400,2016-17,2,2017.03.19,青山学院記念館,4662,726,706
391,2016-17,2,2017.03.18,青山学院記念館,4377,726,706
328,2016-17,2,2017.02.18,富山市総合体育館,3005,696,706
354,2016-17,2,2017.02.25,ウカルちゃんアリーナ,2147,698,706
182,2016-17,2,2016.12.04,豊橋市総合体育館,2228,697,706
362,2016-17,2,2017.02.26,ウカルちゃんアリーナ,2479,698,706
145,2016-17,2,2016.11.23,カメイアリーナ仙台,2107,692,706
534,2016-17,2,2017.05.07,ＣＮＡアリーナ★あきた,3602,693,706
75,2016-17,2,2016.10.22,ブレックスアリーナ宇都宮,3853,703,706
486,2016-17,2,2017.04.23,北海きたえーる,4071,702,706
526,2016-17,2,2017.05.06,ＣＮＡアリーナ★あきた,3476,693,706
434,2016-17,2,2017.04.02,ブレックスアリーナ宇都宮,3911,703,706
21,2016-17,2,2016.10.01,ＣＮＡアリーナ★あきた,4328,693,706
93,2016-17,2,2016.10.29,船橋アリーナ,4425,704,706
505,2016-17,2,2017.04.30,ゼビオアリーナ仙台,3117,692,706
101,2016-17,2,2016.10.30,船橋アリーナ,3305,704,706
30,2016-17,2,2016.10.02,ＣＮＡアリーナ★あきた,4003,693,706
336,2016-17,2,2017.02.19,富山市総合体育館,3417,696,706
128,2016-17,2,2016.11.19,帯広市総合体育館,2054,702,706
478,2016-17,2,2017.04.22,北海きたえーる,3503,702,706
497,2016-17,2,2017.04.29,ゼビオアリーナ仙台,2783,692,706
226,2016-17,2,2016.12.23,川崎市とどろきアリーナ,4789,727,706
84,2016-17,2,2016.10.23,ブレックスアリーナ宇都宮,4035,703,706
300,2016-17,2,2017.01.29,ウィングアリーナ刈谷,3013,728,706
137,2016-17,2,2016.11.20,帯広市総合体育館,2280,702,706
292,2016-17,2,2017.01.28,ウィングアリーナ刈谷,2643,728,706
775,2016-17,7,2016.12.30,ヤマト市民体育館前橋,2015,713,717
908,2016-17,7,2017.03.04,福島市国体記念体育館,1205,711,717
870,2016-17,7,2017.02.18,つくばカピオ　サイバーダインアリーナ,732,712,717
845,2016-17,7,2017.02.04,東串良町総合体育館,224,725,717
818,2016-17,7,2017.01.28,呉市総合体育館（オークアリーナ）,1306,721,717
626,2016-17,7,2016.10.23,板橋区立小豆沢体育館,1005,714,717
846,2016-17,7,2017.02.05,東串良町総合体育館,295,725,717
879,2016-17,7,2017.02.19,つくばカピオ　サイバーダインアリーナ,812,712,717
572,2016-17,7,2016.10.02,大田区総合体育館,861,715,717
753,2016-17,7,2016.12.18,松江市総合体育館,1495,720,717
1022,2016-17,7,2017.04.16,千曲市戸倉体育館,1021,716,717
1077,2016-17,7,2017.05.07,大田区総合体育館,3635,715,717
1016,2016-17,7,2017.04.15,千曲市戸倉体育館,821,716,717
