ScheduleKey,Season,EventId,Date,Arena,Attendance,HomeTeamId,AwayTeamId
2018,2017-18,2,2018.04.07,青山学院記念館,2500,726,706
1627,2017-18,2,2017.10.21,栃木県立県南体育館,2792,703,706
2084,2017-18,2,2018.04.28,沖縄市体育館,3701,701,706
1782,2017-18,2,2017.12.20,川崎市とどろきアリーナ,2643,727,706
1861,2017-18,2,2018.02.03,函館アリーナ,2320,702,706
1921,2017-18,2,2018.03.03,シティホールプラザアオーレ長岡,2522,695,706
1900,2017-18,2,2018.02.18,船橋アリーナ,5345,704,706
1965,2017-18,2,2018.03.17,加古川市立総合体育館,2687,718,706
1899,2017-18,2,2018.02.17,船橋アリーナ,4874,704,706
2085,2017-18,2,2018.04.29,沖縄市体育館,3709,701,706
1736,2017-18,2,2017.12.02,ウィングアリーナ刈谷,3018,728,706
1922,2017-18,2,2018.03.04,シティホールプラザアオーレ長岡,3482,695,706
1839,2017-18,2,2018.01.20,ハンナリーズアリーナ,1900,699,706
2000,2017-18,2,2018.03.30,川崎市とどろきアリーナ,2824,727,706
1793,2017-18,2,2017.12.23,青山学院記念館,2783,726,706
2001,2017-18,2,2018.03.31,川崎市とどろきアリーナ,3926,727,706
1840,2017-18,2,2018.01.21,ハンナリーズアリーナ,2347,699,706
1687,2017-18,2,2017.11.04,松江市総合体育館,2166,720,706
1693,2017-18,2,2017.11.12,船橋アリーナ,5774,704,706
1686,2017-18,2,2017.11.03,松江市総合体育館,3721,720,706
1585,2017-18,2,2017.09.30,府民共済SUPERアリーナ,4532,700,706
2019,2017-18,2,2018.04.08,青山学院記念館,2684,726,706
1692,2017-18,2,2017.11.11,船橋アリーナ,5286,704,706
1737,2017-18,2,2017.12.03,ウィングアリーナ刈谷,3039,728,706
2086,2017-18,2,2018.05.02,ブレックスアリーナ宇都宮,4380,703,706
1628,2017-18,2,2017.10.22,栃木県立県南体育館,2786,703,706
1586,2017-18,2,2017.10.01,府民共済SUPERアリーナ,4022,700,706
1862,2017-18,2,2018.02.04,函館アリーナ,2815,702,706
1794,2017-18,2,2017.12.24,青山学院記念館,2811,726,706
1966,2017-18,2,2018.03.18,加古川市立総合体育館,3074,718,706
2631,2017-18,7,2018.05.02,千曲市戸倉体育館,847,716,717
2257,2017-18,7,2017.11.18,ヤマト市民体育館前橋,1128,713,717
2226,2017-18,7,2017.11.03,高松市総合体育館,687,722,717
2362,2017-18,7,2017.12.30,今治市営中央体育館,811,723,717
2384,2017-18,7,2018.01.28,八戸市東体育館,1708,708,717
2318,2017-18,7,2017.12.16,熊本県立総合体育館,1176,724,717
2294,2017-18,7,2017.12.09,七尾総合市民体育館,673,750,717
2383,2017-18,7,2018.01.27,八戸市東体育館,1430,708,717
2256,2017-18,7,2017.11.17,ヤマト市民体育館前橋,941,713,717
2188,2017-18,7,2017.10.25,青柳公園市民体育館,1791,712,717
2227,2017-18,7,2017.11.04,高松市総合体育館,1378,722,717
2205,2017-18,7,2017.10.29,東広島運動公園体育館,1839,721,717
2361,2017-18,7,2017.12.29,今治市営中央体育館,771,723,717
2204,2017-18,7,2017.10.28,東広島運動公園体育館,1374,721,717
2116,2017-18,7,2017.10.01,カメイアリーナ仙台,2210,692,717
2576,2017-18,7,2018.04.14,つくばカピオアリーナ（つくば市）,1414,712,717
2295,2017-18,7,2017.12.10,七尾総合市民体育館,656,750,717
2319,2017-18,7,2017.12.17,熊本県立総合体育館,1504,724,717
2493,2017-18,7,2018.03.17,ＣＮＡアリーナ★あきた,4721,693,717
2545,2017-18,7,2018.04.01,大田区総合体育館,1914,715,717
2158,2017-18,7,2017.10.15,ヤマト市民体育館前橋,1155,713,717
2448,2017-18,7,2018.02.18,千曲市戸倉体育館,915,716,717
2157,2017-18,7,2017.10.14,ヤマト市民体育館前橋,891,713,717
2434,2017-18,7,2018.02.11,福岡市民体育館,2439,752,717
2447,2017-18,7,2018.02.17,千曲市戸倉体育館,845,716,717
2115,2017-18,7,2017.09.30,カメイアリーナ仙台,3594,692,717
2577,2017-18,7,2018.04.15,つくばカピオアリーナ（つくば市）,1604,712,717
2433,2017-18,7,2018.02.10,福岡市民体育館,2248,752,717
2494,2017-18,7,2018.03.18,ＣＮＡアリーナ★あきた,3225,693,717
2544,2017-18,7,2018.03.31,大田区総合体育館,1648,715,717
1978,2017-18,2,2018.03.25,シティホールプラザアオーレ長岡,3401,695,726
1866,2017-18,2,2018.02.04,富山市総合体育館,2769,696,726
1781,2017-18,2,2017.12.20,ブレックスアリーナ宇都宮,3295,703,726
1977,2017-18,2,2018.03.24,シティホールプラザアオーレ長岡,3195,695,726
1834,2017-18,2,2018.01.21,湖西市アメニティプラザ,1357,697,726
1690,2017-18,2,2017.11.13,北海きたえーる,3899,702,726
1935,2017-18,2,2018.03.10,アリーナ立川立飛,2609,706,726
1685,2017-18,2,2017.11.04,宝塚市立スポーツセンター,1465,718,726
1777,2017-18,2,2017.12.17,府民共済SUPERアリーナ,3373,700,726
1729,2017-18,2,2017.12.02,川崎市とどろきアリーナ,3765,727,726
1590,2017-18,2,2017.09.30,沖縄市体育館,3555,701,726
2046,2017-18,2,2018.04.14,ウカルちゃんアリーナ,1851,698,726
2068,2017-18,2,2018.04.28,ブレックスアリーナ宇都宮,4024,703,726
1865,2017-18,2,2018.02.03,富山市総合体育館,2520,696,726
1936,2017-18,2,2018.03.11,アリーナ立川立飛,2747,706,726
1631,2017-18,2,2017.10.20,川崎市とどろきアリーナ,2239,727,726
1684,2017-18,2,2017.11.03,宝塚市立スポーツセンター,1404,718,726
1589,2017-18,2,2017.09.29,沖縄市体育館,3621,701,726
1987,2017-18,2,2018.03.28,北海きたえーる,3360,702,726
1632,2017-18,2,2017.10.21,川崎市とどろきアリーナ,3629,727,726
1917,2017-18,2,2018.03.03,船橋アリーナ,5114,704,726
1691,2017-18,2,2017.11.14,北海きたえーる,3265,702,726
1776,2017-18,2,2017.12.16,府民共済SUPERアリーナ,2190,700,726
1728,2017-18,2,2017.12.01,川崎市とどろきアリーナ,1822,727,726
2047,2017-18,2,2018.04.15,ウカルちゃんアリーナ,1904,698,726
1856,2017-18,2,2018.01.28,向日市民体育館,1245,699,726
1855,2017-18,2,2018.01.27,向日市民体育館,1115,699,726
1833,2017-18,2,2018.01.20,湖西市アメニティプラザ,1016,697,726
2069,2017-18,2,2018.04.29,ブレックスアリーナ宇都宮,4165,703,726
1918,2017-18,2,2018.03.04,船橋アリーナ,4777,704,726
2504,2017-18,7,2018.03.18,北島北公園総合体育館,936,722,723
2581,2017-18,7,2018.04.15,いしかわ総合スポーツセンター,1871,750,723
2243,2017-18,7,2017.11.14,広島サンプラザホール,1615,721,723
2624,2017-18,7,2018.04.28,福岡市民体育館,1724,752,723
